Test Case ID,Title,Environment,Preconditions,Steps to Reproduce,Expected Result,Actual Result,Severity,Priority
13,,"URL: https://www.saucedemo.com/ | Browser: Chrome Version 151.0.7922.109 | OS: Windows 11",Verify Tab key navigation,"1. navigate to login page
2. Enter Username and enter Tab key
3. Enter Password and enter Tab key","Cursor should move to password field, then show/hide password icon and then to login button",Cursor moves correctly but no show/hide icon present,,Mid
14,,"URL: https://www.saucedemo.com/ | Browser: Chrome Version 151.0.7922.109 | OS: Windows 11",Verify Enter key navigation,"1. navigate to login page
2. Enter Username and click Enter key",Cursor should move to password field and then to login button,Cursor does not move correctly instead of moving to password field directly tries to login,,Mid
15,,"URL: https://www.saucedemo.com/ | Browser: Chrome Version 151.0.7922.109 | OS: Windows 11",Verify Enter key Login,"1. navigate to login page
2. Enter Username and click Enter key
3. Enter password and click Enter key",Successful Login,Enter key login correctly but Does not navigates cursor to any field,,Mid
16,,"URL: https://www.saucedemo.com/ | Browser: Chrome Version 151.0.7922.109 | OS: Windows 11",Verify Login button click,"1. navigate to login page
2. Enter Username
3. Enter password
4. Click login",Must show either error message or must login successfully,Login button working properly,,High
17,,"URL: https://www.saucedemo.com/ | Browser: Chrome Version 151.0.7922.109 | OS: Windows 11",Verify dismissing error message,"1. navigate to login page
2. click Enter key
3. click cross button on the error displayed",The error message must disappear on clicking the cross,Error message disappears,,Low
18,,"URL: https://www.saucedemo.com/ | Browser: Chrome Version 151.0.7922.109 | OS: Windows 11",Verify Username case sensitivity,"1. navigate to login page
2. Enter the Username with changed case senstivity
3. Enter password
4. Click Login",Error invalid username,Epic sadface: Username and password do not match any user in this service,,High
19,,"URL: https://www.saucedemo.com/ | Browser: Chrome Version 151.0.7922.109 | OS: Windows 11",Verify space in Username,"1. navigate to login page
2. Enter a Username with a space on the start or end of the name
3. Enter password
4. Click Login",Error invalid username,Epic sadface: Username and password do not match any user in this service,,High
20,,"URL: https://www.saucedemo.com/ | Browser: Chrome Version 151.0.7922.109 | OS: Windows 11",Browse back button behavior after login,"1. navigate to login page
2. Enter Username
3. Enter Password
4. Click Login
5. Click Browse Back Button",Must log out and navigate to login page,Does not log out but navigate to login page,,Low
21,,"URL: https://www.saucedemo.com/ | Browser: Chrome Version 151.0.7922.109 | OS: Windows 11",Browse back button behavior after logout,"1. navigate to login page
2. Enter Username
3. Enter Password
4. Click Login
5. Click Logout
6. Click Browse Back Button",Must log out and navigate to login page,Does log out and navigate to login page,,Low
22,,"URL: https://www.saucedemo.com/ | Browser: Chrome Version 151.0.7922.109 | OS: Windows 11",Forget password option,1. navigate to login page,There must be a forget password option,No forget password option,,Mid
23,,"URL: https://www.saucedemo.com/ | Browser: Chrome Version 151.0.7922.109 | OS: Windows 11",Verify clicking on forget password,"1. navigate to login page
2. Click on forget password",Must navigate to forget password page,No forget password option,,Mid
